Date,time,Nitric oxide,status,unit,Nitrogen dioxide,status,unit,Nitrogen oxides as nitrogen dioxide,status,unit,PM<sub>2.5</sub> particulate matter (Hourly measured),status,unit
01-01-2023,01:00,9.06157,R,ugm-3,25.18305,R,ugm-3,39.07727,R,ugm-3,16,R,ugm-3 (BAM)
01-01-2023,02:00,3.2084,R,ugm-3,9.28437,R,ugm-3,14.20385,R,ugm-3,5,R,ugm-3 (BAM)
01-01-2023,03:00,4.12974,R,ugm-3,7.82167,R,ugm-3,14.15384,R,ugm-3,2,R,ugm-3 (BAM)
01-01-2023,04:00,2.73148,R,ugm-3,6.46468,R,ugm-3,10.65289,R,ugm-3,2,R,ugm-3 (BAM)
01-01-2023,05:00,2.86155,R,ugm-3,5.31499,R,ugm-3,9.70263,R,ugm-3,0,R,ugm-3 (BAM)
01-01-2023,06:00,1.62588,R,ugm-3,6.10935,R,ugm-3,8.60233,R,ugm-3,1,R,ugm-3 (BAM)
01-01-2023,07:00,3.21924,R,ugm-3,7.56729,R,ugm-3,12.50339,R,ugm-3,1,R,ugm-3 (BAM)
01-01-2023,08:00,3.34931,R,ugm-3,6.31757,R,ugm-3,11.45311,R,ugm-3,2,R,ugm-3 (BAM)
01-01-2023,09:00,4.58498,R,ugm-3,10.57457,R,ugm-3,17.60478,R,ugm-3,2,R,ugm-3 (BAM)
01-01-2023,10:00,4.71505,R,ugm-3,15.77659,R,ugm-3,23.00624,R,ugm-3,4,R,ugm-3 (BAM)
01-01-2023,11:00,12.22662,R,ugm-3,20.11332,R,ugm-3,38.86054,R,ugm-3,5,R,ugm-3 (BAM)
01-01-2023,12:00,17.10426,R,ugm-3,26.23807,R,ugm-3,52.46423,R,ugm-3,3,R,ugm-3 (BAM)
01-01-2023,13:00,7.34898,R,ugm-3,14.53872,R,ugm-3,25.807,R,ugm-3,2,R,ugm-3 (BAM)
01-01-2023,14:00,9.91787,R,ugm-3,18.95208,R,ugm-3,34.15927,R,ugm-3,3,R,ugm-3 (BAM)
